id,title,AffinityPropagation_w2v_300,AffinityPropagation_artm_200,text
23770127,Android разработчик,96,374,"Android разработчик Ищем в штат разработчика приложений для Android. Круг обязанностей - проектирование и разработка приложений в составе команды, оценка задач. Рассматриваем разработчиков с разным уровнем профессионального опыта. Что мы ожидаем от соискателя:  уверенный пользователь Windows или Linux, Android навыки использования CVS (Git и/или Mercurial) знаком с Android SDK, Android Studio, Gradle имеет опыт разработки на Java и/или Kotlin умеет верстать интерфейсы в XML и/или Layout Editor с применением ConstraintLayout имеет представление и/или опыт использования архитектурных концепций (MVP, MVVM) знает сетевые протоколы (TCP, UDP, HTTP) и форматы обмена данными XML, JSON может оценить трудоемкость задачи с погрешностью хотя бы 50%  Плюсом будет:  знакомство с Material Design опыт работы с системами аналитики (Google Analytics, Yandex AppMetrica, Flurry), Firebase,картографическими и рекламными сервисами базовые знания функционального и реактивного программирования  Мы предлагаем:  оформление по ТК РФ возможность совмещения с учёбой для студентов (неполный рабочий день, гибкий график) уровень заработной платы в соответствии с компетенцией, бонусы по окончании проектов комфортный офис в IT-парке, рабочее место, оборудованное ПК с двумя мониторами "
23979934,IOS разработчик,96,267,"IOS разработчик BalinaSoft -молодая активно развивающаяся компания в области разработки мобильных приложений и сайтов.   Требуется iOS разработчик   Требования:  Опыт разработки приложений для iOS от 6 месяцев; Уверенное знание Objective-C и/или Swift; Понимание особенностей целевых мобильных устройств, знание особенностей операционной системы iOS; Хорошее владение XCode, git и др. инструментами; Знание основных фреймворков iOS SDK (Foundation, UIKit, CoreAnimation, CoreGraphics и проч.); Понимание механизмов управления памятью (MRC, ARC); Знание принципов проектирования и умение их применять; представление об основных типовых шаблонах проектирования; Базовые знания об алгоритмизации и структурах данных; Опыт работы со средствами организации многопоточности; Базовые знания о БД и работе с данными; Приветствуются навыки руководства проектами и постановки задач.    Мы предлагаем:  Работу над интересными проектами, которыми пользуются тысячи людей во всем мире; Высокий уровень дохода, отличные возможности для его роста (система премий);    Условия:  Работа в команде опытных профессионалов; Конкурентная оплата труда; Отличные условия труда и отдыха: комфортное рабочее место, чай, кофе, печенье, фрукты. "
21076426,Android developer,96,170,"Android developer Задачи: - Разработка мобильного приложения Rutube под ОС Android; - Функциональное развитие мобильного приложения; - Участие в проектировании и обсуждении вопросов архитектуры систем.   Требования: - Опыт разработки под Android от 3 лет; - Опыт разработки сложный клиент-серверных приложений; - Уверенное знание языка программирования Java, ООП-принципов, стандартных библиотек; - Знание основ работы HTTP-протокола, понимание MVC-подхода к разработке; - Опыт работы с REST/JSON; - Опыт разработки пользовательского интерфейса; - Умение работать с системами контроля версий (GIT); - Нацеленность на результат; - Умение эффективно работать в команде.   Условия: - Гибкий график (часы работы для нас не имеют значения, главное - выполненные задач в срок); - Трудоустройство по ТК РФ; - Удаленная работа или работа в офисе; - Заработная плата по договоренности. (в сопроводительном письме укажите Ваши ожидания)."
20864646,Android Developer,96,271,"Android Developer Обязанности:  разработка мобильных приложений для крупных игроков телекоммуникационного рынка.    Требования:  опыт разработки на Android SDK от 2-х лет; знание Java SE, объектно-ориентированного программирования; уверенное владение Java и Android SDK, особенно в части многопоточности, работы с сетью, сложных интерфейсов; знание современных web-технологий: HTML 5, CSS3, JavaScript; знание основ HTTP 1.1, HTTP/2, SSL, XML, JSON; опыт работы с API Facebook, Vkontakte; стремление к изучению новых технических решений и применению их на практике; английский язык (чтение технической литературы).    Приветствуется:  наличие собственных работ в магазине приложений Google Play; понимание принципов работы Git; опыт работы с любым картографическим SDK (Google Maps, MapBox, OSM, Yandex MapKit).    Условия:  работа в динамично развивающейся компании; конкурентоспособная заработная плата; график работы: 5/2, с 9 до 18 часов; официальное трудоустройство в соответствии с ТК РФ; возможности для роста и развития; долгосрочная проектная занятость; уютная кухня с чашкой горячего чая или кофе; офис в центре (10 минут от метро Кремлевская). "
24736558,IOS разработчик,106,171,"IOS разработчик Ищем опытного разработчика, умеющего работать с большими потоками данных и желанием написать приложение с нуля.     Обязанности:  Разработка торгового терминала криптовалютной биржи + копитрейдинг  Требования:  Objective-C и Swift; ReactiveCocoa/RxSwift; Опубликованные приложения в AppStore; Понимание многопоточной модели.  Условия:  З\П выше рынка; Современный офис в Сити; Гибкий график; Опытная команда; Возможность роста; Рабочий Mac; Возможная релокация в Европу. "
25656638,Разработчик мобильных приложений,106,271,"Разработчик мобильных приложений Для разработки геолокационного приложения (iOS &amp; Android в связке с веб сервисом) требуется специалист на позицию ведущий Android разработчик. У нас есть динамично развивающееся приложение под платформу iOS и мы начинаем разработку под Android на Kotlin. В новую команду ищем опытного middle-разработчика, готового создать хороший продукт и принимать участие в улучшении процесса разработки (CI, CD, рабочий процесс). Обязанности:* Разработка геолокационного приложения с нуля;* Планирование сроков;* Ревью кода;* Активное участие в жизни проекта;* Покрытие кода тестами. Требования:* Опыт мобильной разработки на Android от 2 лет;* Опыт работы с Kotlin &amp; Java;* Опыт работы в команде;* Опыт работы с геолокацией, Google Maps SDK, Realm;* Опыт работы с Git (bitbucket);* Опыт применения DI;* Опыт работы с Jira приветствуется. Условия:* Размер з/п готовы обсуждать с кандидатом по результатам собеседования;* Ориентация на долгосрочное сотрудничество;* Доброжелательная, демократичная и творческая атмосфера;* Полный рабочий день;* Гибкий график (при занятости full-time);* Возможность удаленной работы."
25658617,Senior Android Developer (Ведущий Android разработчик),135,352,"Senior Android Developer (Ведущий Android разработчик) НАГ - российский разработчик и высокотехнологичный системный интегратор, обладающий богатым опытом и квалификацией в разработке и построении коммуникационных сетей, сетей передачи данных, а также инженерных инфраструктур и систем информационной безопасности.    В компанию требуется Ведущий Android-разработчик для разработки приложений под &quot;set-top box&quot;.   Обязанности:  Формирование архитектуры приложения Разработка приложений под Android Lollipop / Nougat Разработка UI совместно с дизайнерами Реализация серверного взаимодействия Добавление новых функций, тестирование, исправление выявленных багов Участие в подготовке технической документации    Требования:  Опыт разработки приложений для Android Уверенное владение Android Studio Уверенное знание языка Java Знание Android SDK Умение писать надежный, хорошо документированный исходный код    Мы предлагаем:  Высокую заработную плату, официальное трудоустройство по ТК РФ Работу в стабильной компании с развитой корпоративной культурой Участие в сложных и передовых проектах в области цифровых технологий Возможность профессионального и карьерного роста Частичную компенсацию ДМС, питания, курсы иностранных языков, фитнес-центра. Молодой и дружный коллектив Удобный график работы    Стартовые условия обсуждаются в зависимости от квалификации и опыта работы.   Мы всегда рады принять в наш просторный современный офис активных, позитивных и находчивых. Если вы считаете, что нам подходите - мы с радостью рассмотрим ваше резюме.  "
21176239,Разработчик Android,135,271,"Разработчик Android В команду разработки мобильных приложений требуется Android-разработчик.   Обязательно:  Высшее техническое образование, желательно в области прикладной математики, программирования Коммуникативность, стрессоустойчивость, желание работать в команде единомышленников Опыт разработки мобильных приложений Android в команде разработчиков от 2-х лет Опыт разработки клиент-серверных приложений Знание технологий разработки web services (в частности, REST APIs). Знания ООП и структур данных Знания SQL/SQL lite Знание основ сетевого взаимодействия (НТТРS, Websocket); Наличие готовых приложений в Google Play Опыт работы с рекомендациями по дизайну приложения (Guidelines, Material design, BrandBook, и тд)  Будет плюсом:  Опыт разработки в телекоме Опыт разработки мобильных приложений для VAS-услуг  Бонусы:  Мы предлагаем участие в проектах федерального масштаба, которыми будут пользоваться миллионы людей, сложные и амбициозные задачи; дружелюбный коллектив; возможности для обучения У нас достойная заработная плата, оформление полностью в соответствие с ТК РФ, пакет ДМС после испытательного срока, годовые бонусы; Возможность самореализации в различных направлениях. "
26055534,Android Developer,135,170,"Android Developer   Мы ищем коллегу Android-разработчика в команду мобильных приложений, основными задачами которого станет разработка новых и поддержка существующих приложений для ведущих операторов сотовой связи, компаний в сфере финансов и телекоммуникаций.   Требования:  Android  Опыт разработки от 1-го года Опыт использования Android SDK от 2 лет; Уверенное знание Java SE; хорошее знание платформы Android, ее возможностей и ограничений   приветствуется  Умение быстро разбираться в чужом коде Знание особенностей разработки мобильных приложений под другие платформы и особенностей разработки серверных частей приложений будет плюсом Опыт работы с HTTP, Rest API Умение организовать взаимодействие клиент-сервер   Обучаемость, коммуникабельность, ответственность Навыки системного анализа Знание особенностей процедуры публикации приложений Опыт работы с YouTrack  Обязанности:  Разработка и проектирование архитектуры приложения для Android Участие в наладке и тестировании приложений  Условия:  Интересные проекты Оплачиваемый отпуск‚ гибкий график рабочего времени Достойная оплата труда (обсуждается на собеседовании) Возможность для профессионального совершенствования и карьерного роста   "
23414712,Unity developer,135,37,"Unity developer Крупная IT компания (игровое ПО)    Обязанности:  разработка новых и поддержка существующих проектов на Unity3d.  Требования:  опыт разработки на С# (от 2-х лет); теоретическая базу в области программирования игровой логики; опыт разработки приложений под мобильные платформы (iOS, Android); опыт разработки мобильных игр на Unity; опыт работы с различными GUI библиотеками для Unity — NGUI; владение основными паттернами проектирования; технический английский язык (чтение документации, техническая переписка с поддержкой и прочее).  Условия:  работа в команде профессионалов; конкурентная заработная плата; обучение. "
24034370,Программист-разработчик Android (Java),135,352,"Программист-разработчик Android (Java) В компании Arcsinus открыта вакансия Android-разработчика в орловском подразделении.   Предпочтение будет отдаваться опытным специалистам, знающим специфику коммерческой разработки мобильных продуктов и умеющим организованно подходить к выполнению задач.   Обязанности:  проектирование архитектуры и разработка мобильных приложений на базе Android плотное взаимодействие с командой продукта/проекта (аналитик, разработчики, тестировщики, менеджер)    Требования:  опыт разработки приложений под Android от 1 года знание Java, Android SDK понимание архитектуры и принципов разработки под Android наличие подтвержденного портфолио и реализованных проектов уверенное владение Android Studio и системами контроля версий (Git) опыт работы с трекерами ошибок и системами управления проектами (Jira, Redmine, Confluence) знание ООП и паттернов проектирования умение разбираться в чужом коде аккуратность и внимание к деталям стремление к порядку и соблюдению заявленных сроков самостоятельность умение аргументировать и обосновывать свои решения готовность работать в команде знание английского языка на уровне, достаточном для чтения профессиональной документации и литературы    Преимуществом будет:  знание языков других программирования, например, C#, С++, Swift, Objective-C наличие разработанных вами приложений в Google Play опыт участия в open-source проектах    Условия:  уровень заработной платы высокий, обсуждается с успешным кандидатом в зависимости от уровня знаний и опыта возможно дополнительное премирование по итогам выполнения проектов график работы – полный день, c 9 до 18 испытательный срок – 3 месяца перспективы профессионального и карьерного роста оформление в соответствии с ТК РФ кондиционируемый офис в современном бизнес-центре в центре Орла молодой и дружный коллектив лояльное руководство возможность реализовывать себя в проектах для известных компаний и брендов, которыми будут пользоваться сотни тысяч пользователей "
